center,left,right,steering,throttle,brake,speed
/Users/kanhua/Desktop/drive/IMG/center_2017_03_09_14_50_06_700.jpg,/Users/kanhua/Desktop/drive/IMG/left_2017_03_09_14_50_06_700.jpg,/Users/kanhua/Desktop/drive/IMG/right_2017_03_09_14_50_06_700.jpg,0,0,0,8.402945
/Users/kanhua/Desktop/drive/IMG/center_2017_03_09_14_50_06_815.jpg,/Users/kanhua/Desktop/drive/IMG/left_2017_03_09_14_50_06_815.jpg,/Users/kanhua/Desktop/drive/IMG/right_2017_03_09_14_50_06_815.jpg,0,0,0,8.302983
/Users/kanhua/Desktop/drive/IMG/center_2017_03_09_14_50_06_899.jpg,/Users/kanhua/Desktop/drive/IMG/left_2017_03_09_14_50_06_899.jpg,/Users/kanhua/Desktop/drive/IMG/right_2017_03_09_14_50_06_899.jpg,0,0,0,8.237003
/Users/kanhua/Desktop/drive/IMG/center_2017_03_09_14_50_07_042.jpg,/Users/kanhua/Desktop/drive/IMG/left_2017_03_09_14_50_07_042.jpg,/Users/kanhua/Desktop/drive/IMG/right_2017_03_09_14_50_07_042.jpg,0,0,0,8.107574
/Users/kanhua/Desktop/drive/IMG/center_2017_03_09_14_50_07_127.jpg,/Users/kanhua/Desktop/drive/IMG/left_2017_03_09_14_50_07_127.jpg,/Users/kanhua/Desktop/drive/IMG/right_2017_03_09_14_50_07_127.jpg,0,0,0,8.044019
/Users/kanhua/Desktop/drive/IMG/center_2017_03_09_14_50_07_195.jpg,/Users/kanhua/Desktop/drive/IMG/left_2017_03_09_14_50_07_195.jpg,/Users/kanhua/Desktop/drive/IMG/right_2017_03_09_14_50_07_195.jpg,0,0,0,7.99669
/Users/kanhua/Desktop/drive/IMG/center_2017_03_09_14_50_07_338.jpg,/Users/kanhua/Desktop/drive/IMG/left_2017_03_09_14_50_07_338.jpg,/Users/kanhua/Desktop/drive/IMG/right_2017_03_09_14_50_07_338.jpg,0,0,0,7.887365
/Users/kanhua/Desktop/drive/IMG/center_2017_03_09_14_50_07_610.jpg,/Users/kanhua/Desktop/drive/IMG/left_2017_03_09_14_50_07_610.jpg,/Users/kanhua/Desktop/drive/IMG/right_2017_03_09_14_50_07_610.jpg,0,0,0,7.673264
/Users/kanhua/Desktop/drive/IMG/center_2017_03_09_14_50_07_691.jpg,/Users/kanhua/Desktop/drive/IMG/left_2017_03_09_14_50_07_691.jpg,/Users/kanhua/Desktop/drive/IMG/right_2017_03_09_14_50_07_691.jpg,0,0.250968,0,7.840621
/Users/kanhua/Desktop/drive/IMG/center_2017_03_09_14_50_07_787.jpg,/Users/kanhua/Desktop/drive/IMG/left_2017_03_09_14_50_07_787.jpg,/Users/kanhua/Desktop/drive/IMG/right_2017_03_09_14_50_07_787.jpg,0,0.538236,0,8.397248
/Users/kanhua/Desktop/drive/IMG/center_2017_03_09_14_50_07_871.jpg,/Users/kanhua/Desktop/drive/IMG/left_2017_03_09_14_50_07_871.jpg,/Users/kanhua/Desktop/drive/IMG/right_2017_03_09_14_50_07_871.jpg,0,0.7884361,0,9.077106
/Users/kanhua/Desktop/drive/IMG/center_2017_03_09_14_50_07_959.jpg,/Users/kanhua/Desktop/drive/IMG/left_2017_03_09_14_50_07_959.jpg,/Users/kanhua/Desktop/drive/IMG/right_2017_03_09_14_50_07_959.jpg,0,0.8067062,0,9.845367
/Users/kanhua/Desktop/drive/IMG/center_2017_03_09_14_50_08_052.jpg,/Users/kanhua/Desktop/drive/IMG/left_2017_03_09_14_50_08_052.jpg,/Users/kanhua/Desktop/drive/IMG/right_2017_03_09_14_50_08_052.jpg,0,0.5273911,0,10.48357
/Users/kanhua/Desktop/drive/IMG/center_2017_03_09_14_50_08_127.jpg,/Users/kanhua/Desktop/drive/IMG/left_2017_03_09_14_50_08_127.jpg,/Users/kanhua/Desktop/drive/IMG/right_2017_03_09_14_50_08_127.jpg,0,0.3007051,0,10.76396
/Users/kanhua/Desktop/drive/IMG/center_2017_03_09_14_50_08_241.jpg,/Users/kanhua/Desktop/drive/IMG/left_2017_03_09_14_50_08_241.jpg,/Users/kanhua/Desktop/drive/IMG/right_2017_03_09_14_50_08_241.jpg,0,0,0,10.73708
/Users/kanhua/Desktop/drive/IMG/center_2017_03_09_14_50_08_322.jpg,/Users/kanhua/Desktop/drive/IMG/left_2017_03_09_14_50_08_322.jpg,/Users/kanhua/Desktop/drive/IMG/right_2017_03_09_14_50_08_322.jpg,0,0,0,10.65237
/Users/kanhua/Desktop/drive/IMG/center_2017_03_09_14_50_08_426.jpg,/Users/kanhua/Desktop/drive/IMG/left_2017_03_09_14_50_08_426.jpg,/Users/kanhua/Desktop/drive/IMG/right_2017_03_09_14_50_08_426.jpg,0,0,0,10.54744
/Users/kanhua/Desktop/drive/IMG/center_2017_03_09_14_50_08_507.jpg,/Users/kanhua/Desktop/drive/IMG/left_2017_03_09_14_50_08_507.jpg,/Users/kanhua/Desktop/drive/IMG/right_2017_03_09_14_50_08_507.jpg,0,0,0,10.46425
/Users/kanhua/Desktop/drive/IMG/center_2017_03_09_14_50_08_614.jpg,/Users/kanhua/Desktop/drive/IMG/left_2017_03_09_14_50_08_614.jpg,/Users/kanhua/Desktop/drive/IMG/right_2017_03_09_14_50_08_614.jpg,-0.15,0,0,10.35469
/Users/kanhua/Desktop/drive/IMG/center_2017_03_09_14_50_08_750.jpg,/Users/kanhua/Desktop/drive/IMG/left_2017_03_09_14_50_08_750.jpg,/Users/kanhua/Desktop/drive/IMG/right_2017_03_09_14_50_08_750.jpg,-0.5000001,0,0,10.13107
/Users/kanhua/Desktop/drive/IMG/center_2017_03_09_14_50_08_855.jpg,/Users/kanhua/Desktop/drive/IMG/left_2017_03_09_14_50_08_855.jpg,/Users/kanhua/Desktop/drive/IMG/right_2017_03_09_14_50_08_855.jpg,-0.7500002,0,0,9.923543
/Users/kanhua/Desktop/drive/IMG/center_2017_03_09_14_50_08_934.jpg,/Users/kanhua/Desktop/drive/IMG/left_2017_03_09_14_50_08_934.jpg,/Users/kanhua/Desktop/drive/IMG/right_2017_03_09_14_50_08_934.jpg,-0.9500002,0,0,9.729302
/Users/kanhua/Desktop/drive/IMG/center_2017_03_09_14_50_09_055.jpg,/Users/kanhua/Desktop/drive/IMG/left_2017_03_09_14_50_09_055.jpg,/Users/kanhua/Desktop/drive/IMG/right_2017_03_09_14_50_09_055.jpg,0,0,0,9.465331
/Users/kanhua/Desktop/drive/IMG/center_2017_03_09_14_50_09_151.jpg,/Users/kanhua/Desktop/drive/IMG/left_2017_03_09_14_50_09_151.jpg,/Users/kanhua/Desktop/drive/IMG/right_2017_03_09_14_50_09_151.jpg,0,0,0,9.36467
/Users/kanhua/Desktop/drive/IMG/center_2017_03_09_14_50_09_249.jpg,/Users/kanhua/Desktop/drive/IMG/left_2017_03_09_14_50_09_249.jpg,/Users/kanhua/Desktop/drive/IMG/right_2017_03_09_14_50_09_249.jpg,0,0,0,9.270732
/Users/kanhua/Desktop/drive/IMG/center_2017_03_09_14_50_09_341.jpg,/Users/kanhua/Desktop/drive/IMG/left_2017_03_09_14_50_09_341.jpg,/Users/kanhua/Desktop/drive/IMG/right_2017_03_09_14_50_09_341.jpg,0.25,0,0,9.161416
/Users/kanhua/Desktop/drive/IMG/center_2017_03_09_14_50_09_434.jpg,/Users/kanhua/Desktop/drive/IMG/left_2017_03_09_14_50_09_434.jpg,/Users/kanhua/Desktop/drive/IMG/right_2017_03_09_14_50_09_434.jpg,0.45,0,0,9.047269
/Users/kanhua/Desktop/drive/IMG/center_2017_03_09_14_50_09_528.jpg,/Users/kanhua/Desktop/drive/IMG/left_2017_03_09_14_50_09_528.jpg,/Users/kanhua/Desktop/drive/IMG/right_2017_03_09_14_50_09_528.jpg,0.7,0,0,8.876766
/Users/kanhua/Desktop/drive/IMG/center_2017_03_09_14_50_09_606.jpg,/Users/kanhua/Desktop/drive/IMG/left_2017_03_09_14_50_09_606.jpg,/Users/kanhua/Desktop/drive/IMG/right_2017_03_09_14_50_09_606.jpg,0,0,0,8.738145
/Users/kanhua/Desktop/drive/IMG/center_2017_03_09_14_50_09_687.jpg,/Users/kanhua/Desktop/drive/IMG/left_2017_03_09_14_50_09_687.jpg,/Users/kanhua/Desktop/drive/IMG/right_2017_03_09_14_50_09_687.jpg,0,0,0,8.662667
/Users/kanhua/Desktop/drive/IMG/center_2017_03_09_14_50_09_771.jpg,/Users/kanhua/Desktop/drive/IMG/left_2017_03_09_14_50_09_771.jpg,/Users/kanhua/Desktop/drive/IMG/right_2017_03_09_14_50_09_771.jpg,0,0,0,8.592768
/Users/kanhua/Desktop/drive/IMG/center_2017_03_09_14_50_09_849.jpg,/Users/kanhua/Desktop/drive/IMG/left_2017_03_09_14_50_09_849.jpg,/Users/kanhua/Desktop/drive/IMG/right_2017_03_09_14_50_09_849.jpg,0,0,0,8.523883
