center,left,right,steering,throttle,brake,speed
/Users/kanhua/Desktop/drive2/IMG/center_2017_03_09_22_34_32_682.jpg,/Users/kanhua/Desktop/drive2/IMG/left_2017_03_09_22_34_32_682.jpg,/Users/kanhua/Desktop/drive2/IMG/right_2017_03_09_22_34_32_682.jpg,0,0,0,9.487938
/Users/kanhua/Desktop/drive2/IMG/center_2017_03_09_22_34_32_764.jpg,/Users/kanhua/Desktop/drive2/IMG/left_2017_03_09_22_34_32_764.jpg,/Users/kanhua/Desktop/drive2/IMG/right_2017_03_09_22_34_32_764.jpg,0,0,0,9.392704
/Users/kanhua/Desktop/drive2/IMG/center_2017_03_09_22_34_32_839.jpg,/Users/kanhua/Desktop/drive2/IMG/left_2017_03_09_22_34_32_839.jpg,/Users/kanhua/Desktop/drive2/IMG/right_2017_03_09_22_34_32_839.jpg,0,0,0,9.336023
/Users/kanhua/Desktop/drive2/IMG/center_2017_03_09_22_34_32_917.jpg,/Users/kanhua/Desktop/drive2/IMG/left_2017_03_09_22_34_32_917.jpg,/Users/kanhua/Desktop/drive2/IMG/right_2017_03_09_22_34_32_917.jpg,0,0,0,9.260982
/Users/kanhua/Desktop/drive2/IMG/center_2017_03_09_22_34_32_986.jpg,/Users/kanhua/Desktop/drive2/IMG/left_2017_03_09_22_34_32_986.jpg,/Users/kanhua/Desktop/drive2/IMG/right_2017_03_09_22_34_32_986.jpg,0,0,0,9.186543
/Users/kanhua/Desktop/drive2/IMG/center_2017_03_09_22_34_33_054.jpg,/Users/kanhua/Desktop/drive2/IMG/left_2017_03_09_22_34_33_054.jpg,/Users/kanhua/Desktop/drive2/IMG/right_2017_03_09_22_34_33_054.jpg,0,0,0,9.131107
/Users/kanhua/Desktop/drive2/IMG/center_2017_03_09_22_34_33_124.jpg,/Users/kanhua/Desktop/drive2/IMG/left_2017_03_09_22_34_33_124.jpg,/Users/kanhua/Desktop/drive2/IMG/right_2017_03_09_22_34_33_124.jpg,0,0.07065886,0,9.086654
/Users/kanhua/Desktop/drive2/IMG/center_2017_03_09_22_34_33_195.jpg,/Users/kanhua/Desktop/drive2/IMG/left_2017_03_09_22_34_33_195.jpg,/Users/kanhua/Desktop/drive2/IMG/right_2017_03_09_22_34_33_195.jpg,0,0.2847329,0,9.1725
/Users/kanhua/Desktop/drive2/IMG/center_2017_03_09_22_34_33_269.jpg,/Users/kanhua/Desktop/drive2/IMG/left_2017_03_09_22_34_33_269.jpg,/Users/kanhua/Desktop/drive2/IMG/right_2017_03_09_22_34_33_269.jpg,0,0.5042608,0,9.516765
/Users/kanhua/Desktop/drive2/IMG/center_2017_03_09_22_34_33_354.jpg,/Users/kanhua/Desktop/drive2/IMG/left_2017_03_09_22_34_33_354.jpg,/Users/kanhua/Desktop/drive2/IMG/right_2017_03_09_22_34_33_354.jpg,0,0.759948,0,10.09037
/Users/kanhua/Desktop/drive2/IMG/center_2017_03_09_22_34_33_436.jpg,/Users/kanhua/Desktop/drive2/IMG/left_2017_03_09_22_34_33_436.jpg,/Users/kanhua/Desktop/drive2/IMG/right_2017_03_09_22_34_33_436.jpg,0,1,0,10.87421
/Users/kanhua/Desktop/drive2/IMG/center_2017_03_09_22_34_33_516.jpg,/Users/kanhua/Desktop/drive2/IMG/left_2017_03_09_22_34_33_516.jpg,/Users/kanhua/Desktop/drive2/IMG/right_2017_03_09_22_34_33_516.jpg,0,1,0,11.5893
/Users/kanhua/Desktop/drive2/IMG/center_2017_03_09_22_34_33_599.jpg,/Users/kanhua/Desktop/drive2/IMG/left_2017_03_09_22_34_33_599.jpg,/Users/kanhua/Desktop/drive2/IMG/right_2017_03_09_22_34_33_599.jpg,0,1,0,12.59852
/Users/kanhua/Desktop/drive2/IMG/center_2017_03_09_22_34_33_682.jpg,/Users/kanhua/Desktop/drive2/IMG/left_2017_03_09_22_34_33_682.jpg,/Users/kanhua/Desktop/drive2/IMG/right_2017_03_09_22_34_33_682.jpg,0,1,0,13.4403
/Users/kanhua/Desktop/drive2/IMG/center_2017_03_09_22_34_33_761.jpg,/Users/kanhua/Desktop/drive2/IMG/left_2017_03_09_22_34_33_761.jpg,/Users/kanhua/Desktop/drive2/IMG/right_2017_03_09_22_34_33_761.jpg,0,1,0,14.16443
/Users/kanhua/Desktop/drive2/IMG/center_2017_03_09_22_34_33_839.jpg,/Users/kanhua/Desktop/drive2/IMG/left_2017_03_09_22_34_33_839.jpg,/Users/kanhua/Desktop/drive2/IMG/right_2017_03_09_22_34_33_839.jpg,0,1,0,15.01984
/Users/kanhua/Desktop/drive2/IMG/center_2017_03_09_22_34_33_917.jpg,/Users/kanhua/Desktop/drive2/IMG/left_2017_03_09_22_34_33_917.jpg,/Users/kanhua/Desktop/drive2/IMG/right_2017_03_09_22_34_33_917.jpg,0,1,0,15.89515
/Users/kanhua/Desktop/drive2/IMG/center_2017_03_09_22_34_33_997.jpg,/Users/kanhua/Desktop/drive2/IMG/left_2017_03_09_22_34_33_997.jpg,/Users/kanhua/Desktop/drive2/IMG/right_2017_03_09_22_34_33_997.jpg,0,1,0,16.76252
/Users/kanhua/Desktop/drive2/IMG/center_2017_03_09_22_34_34_073.jpg,/Users/kanhua/Desktop/drive2/IMG/left_2017_03_09_22_34_34_073.jpg,/Users/kanhua/Desktop/drive2/IMG/right_2017_03_09_22_34_34_073.jpg,0,1,0,17.61924
/Users/kanhua/Desktop/drive2/IMG/center_2017_03_09_22_34_34_155.jpg,/Users/kanhua/Desktop/drive2/IMG/left_2017_03_09_22_34_34_155.jpg,/Users/kanhua/Desktop/drive2/IMG/right_2017_03_09_22_34_34_155.jpg,0,1,0,18.4652
/Users/kanhua/Desktop/drive2/IMG/center_2017_03_09_22_34_34_234.jpg,/Users/kanhua/Desktop/drive2/IMG/left_2017_03_09_22_34_34_234.jpg,/Users/kanhua/Desktop/drive2/IMG/right_2017_03_09_22_34_34_234.jpg,0,1,0,19.30165
/Users/kanhua/Desktop/drive2/IMG/center_2017_03_09_22_34_34_313.jpg,/Users/kanhua/Desktop/drive2/IMG/left_2017_03_09_22_34_34_313.jpg,/Users/kanhua/Desktop/drive2/IMG/right_2017_03_09_22_34_34_313.jpg,0,1,0,20.12996
/Users/kanhua/Desktop/drive2/IMG/center_2017_03_09_22_34_34_385.jpg,/Users/kanhua/Desktop/drive2/IMG/left_2017_03_09_22_34_34_385.jpg,/Users/kanhua/Desktop/drive2/IMG/right_2017_03_09_22_34_34_385.jpg,0,1,0,20.9511
/Users/kanhua/Desktop/drive2/IMG/center_2017_03_09_22_34_34_465.jpg,/Users/kanhua/Desktop/drive2/IMG/left_2017_03_09_22_34_34_465.jpg,/Users/kanhua/Desktop/drive2/IMG/right_2017_03_09_22_34_34_465.jpg,0,1,0,21.76466
/Users/kanhua/Desktop/drive2/IMG/center_2017_03_09_22_34_34_537.jpg,/Users/kanhua/Desktop/drive2/IMG/left_2017_03_09_22_34_34_537.jpg,/Users/kanhua/Desktop/drive2/IMG/right_2017_03_09_22_34_34_537.jpg,0,1,0,22.40294
/Users/kanhua/Desktop/drive2/IMG/center_2017_03_09_22_34_34_609.jpg,/Users/kanhua/Desktop/drive2/IMG/left_2017_03_09_22_34_34_609.jpg,/Users/kanhua/Desktop/drive2/IMG/right_2017_03_09_22_34_34_609.jpg,0,1,0,23.18163
/Users/kanhua/Desktop/drive2/IMG/center_2017_03_09_22_34_34_682.jpg,/Users/kanhua/Desktop/drive2/IMG/left_2017_03_09_22_34_34_682.jpg,/Users/kanhua/Desktop/drive2/IMG/right_2017_03_09_22_34_34_682.jpg,0,1,0,23.75629
/Users/kanhua/Desktop/drive2/IMG/center_2017_03_09_22_34_34_755.jpg,/Users/kanhua/Desktop/drive2/IMG/left_2017_03_09_22_34_34_755.jpg,/Users/kanhua/Desktop/drive2/IMG/right_2017_03_09_22_34_34_755.jpg,0,1,0,24.53523
